Item,Cost,Link
Micro Servo Motors,5.99,https://www.amazon.com/Control-Raspberry-Helicopter-Airplane-Controls/dp/B0DFKPVRC2/
Battery Holder,8.39,https://www.amazon.com/DaierTek-Battery-Holder-Storage-Connector/dp/B09N1GDWQ9/?th=1
Blue LEDs,5.99,https://www.amazon.com/Diffused-Lighting-Electronics-Components-Emitting/dp/B01C3ZZT82
220 resistor,5.99,https://www.amazon.com/Resistor-Tolerance-Resistors-Limiting-Certificated/dp/B08QRYCNVT/
Clear Epoxy Resin,13.99,https://www.amazon.com/Crystal-Casting-Coating-Projects-Painting/dp/B07S1MLQMJ?
Fiberglass Cloth,3.99,https://www.amazon.com/Phiocxem-Fiberglass-Reinforcement-Heat-Resistance-Insulation/dp/B0DP8STPTX/?th=1
